,ari,atl,bal,bos,chc,chw,cin,cle,col,det,mia,hou,kcr,laa,lad,mil,min,nym,nyy,oak,phi,pit,stl,sdp,sfg,sea,tbr,tex,tor,wsn
1,-1,-1.0,1,1,1,1,1,-1.0,1,1.0,-1.0,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,1
2,0,-2.0,2,0,2,2,2,0.0,0,2.0,-2.0,0,0,-2,2,-2,-2,0,0,-2,-2,2,-2,-2,2,0,-2,0,2,2
3,-1,-3.0,3,1,3,1,3,1.0,1,3.0,-1.0,-1,1,-1,3,-1,-3,1,1,-1,-3,3,-3,-3,1,1,-1,-1,1,1
4,-2,-4.0,4,2,2,2,2,0.0,0,2.0,-2.0,-2,2,-2,2,0,-4,0,0,-2,-4,4,-2,-2,2,0,0,-2,0,2
5,-1,-5.0,5,1,3,1,3,-1.0,-1,1.0,-1.0,-1,3,-3,1,-1,-5,-1,1,-1,-3,3,-1,-1,3,-1,-1,-1,-1,3
6,-2,-6.0,6,0,4,2,4,0.0,0,2.0,0.0,-2,2,-2,2,0,-6,-2,2,0,-2,2,0,-2,2,-2,-2,0,-2,4
7,-3,-7.0,7,-1,5,3,3,1.0,-1,3.0,-1.0,-1,3,-1,1,-1,-7,-3,1,1,-3,3,1,-1,3,-3,-1,-1,-1,5
8,-2,-8.0,6,0,6,4,2,0.0,0,4.0,-2.0,-2,4,0,0,0,-8,-2,0,0,-2,2,0,-2,4,-4,-2,0,-2,6
9,-3,-9.0,5,1,7,5,1,1.0,1,3.0,-3.0,-3,5,1,1,-1,-9,-1,-1,-1,-1,1,1,-3,3,-3,-3,1,-1,7
10,-4,-8.0,6,2,6,6,0,0.0,2,4.0,-4.0,-4,6,0,2,0,-8,-2,-2,-2,0,0,2,-4,2,-2,-4,0,0,8
11,-3,-7.0,5,1,7,5,1,1.0,1,3.0,-3.0,-3,5,-1,3,-1,-7,-1,-1,-3,-1,-1,1,-5,1,-1,-3,1,-1,7
12,-4,-6.0,4,0,6,4,0,0.0,2,2.0,-4.0,-4,4,-2,2,-2,-6,0,-2,-2,-2,0,2,-4,2,-2,-2,0,-2,6
13,-3,-5.0,5,-1,7,3,-1,-1.0,3,3.0,-5.0,-3,5,-1,3,-3,-5,1,-3,-1,-1,1,1,-5,1,-3,-1,1,-1,7
14,-2,-6.0,6,0,8,4,0,0.0,2,2.0,-4.0,-4,4,-2,2,-2,-6,0,-4,0,-2,0,0,-4,0,-2,-2,2,0,8
15,-1,-7.0,5,-1,7,5,1,1.0,1,1.0,-5.0,-5,5,-3,3,-1,-7,1,-3,1,-3,-1,1,-3,-1,-1,-1,3,1,7
16,0,-8.0,6,0,8,4,0,2.0,2,0.0,-6.0,-6,6,-2,4,-2,-6,2,-2,2,-2,0,0,-4,-2,0,-2,4,0,8
17,1,-9.0,5,-1,9,5,-1,1.0,1,-1.0,-5.0,-7,5,-3,3,-3,-7,3,-3,3,-1,1,1,-3,-3,-1,-3,3,-1,9
